sc_status,income,purpose,activity,project_cost,loan_required,education_level,course,course_type,course_recognized,location,recommended_scheme
Yes,75976,Business,Computer Centre,308347,132944,NA,NA,NA,NA,Urban,UNY
No,343157,Business,Poultry,204449,66764,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,75025,Education,NA,3366144,173887,12th,MBA,Technical,No,Urban,NO_ELIGIBLE_SCHEME
Yes,104127,Business,Repair Shop,4505674,3164089,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,88626,Business,Grocery Shop,488567,168679,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,446091,Business,Grocery Shop,114182,44654,NA,NA,NA,NA,Rural,MFS
Yes,81339,Business,Grocery Shop,403218,52052,NA,NA,NA,NA,Urban,UNY
Yes,355521,Education,NA,3677985,3065281,Graduate,BCA,Technical,Yes,Urban,ELS
Yes,570605,Business,Poultry,103833,398837,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,362043,Business,Grocery Shop,43459,10805,NA,NA,NA,NA,Rural,AMY
Yes,93350,Education,NA,2477486,1081082,Postgraduate,BCA,Technical,Yes,Rural,ELS
Yes,189838,Business,Grocery Shop,78148,78062,NA,NA,NA,NA,Urban,MFS
Yes,270109,Business,Service Business,36258,17813,NA,NA,NA,NA,Urban,MFS
Yes,374879,Business,Service Business,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,593143,Business,Grocery Shop,68383,74324,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
No,386560,Business,Food Business,70836,333217,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,410891,Business,Computer Centre,119842,101483,NA,NA,NA,NA,Rural,MFS
Yes,370793,Business,Service Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,346953,Business,Small Manufacturing,352853,44050,NA,NA,NA,NA,Urban,UNY
No,164208,Business,Repair Shop,68440,346248,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,458656,Business,Service Business,3956936,2542890,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,171270,Business,Transport,43525,18978,NA,NA,NA,NA,Rural,AMY
Yes,329024,Business,Food Business,399470,345042,NA,NA,NA,NA,Urban,UNY
Yes,172250,Business,Food Business,1359013,1121451,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,200940,Education,NA,4235680,3026406,Postgraduate,MCA,Technical,Yes,Rural,ELS
Yes,467763,Business,Grocery Shop,46759,42632,NA,NA,NA,NA,Urban,AMY
Yes,182573,Business,Transport,6831535,5768118,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,69863,Business,Grocery Shop,90191,53478,NA,NA,NA,NA,Rural,MFS
Yes,72467,Business,Computer Centre,354746,164251,NA,NA,NA,NA,Rural,UNY
Yes,88610,Business,Fisheries,4084857,1104768,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,95612,Business,Poultry,1711078,520198,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,424716,Education,NA,2816336,868055,Graduate,Law,Technical,Yes,Rural,ELS
Yes,213677,Business,Computer Centre,138982,89389,NA,NA,NA,NA,Urban,AMY
Yes,473167,Business,Tailoring,109131,44671,NA,NA,NA,NA,Urban,MFS
Yes,744640,Business,Repair Shop,147377,199721,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,150094,Business,Grocery Shop,87119,80593,NA,NA,NA,NA,Urban,MFS
Yes,416493,Business,Fisheries,325076,190011,NA,NA,NA,NA,Urban,UNY
Yes,472832,Business,Repair Shop,138093,73156,NA,NA,NA,NA,Urban,MFS
Yes,390909,Business,Tailoring,4053014,1390239,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,476036,Business,Tailoring,165386,111676,NA,NA,NA,NA,Urban,UNY
Yes,210570,Business,Tailoring,72842,35215,NA,NA,NA,NA,Urban,AMY
Yes,349060,Business,Computer Centre,4225372,3942115,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,436772,Business,Tailoring,85067,68177,NA,NA,NA,NA,Urban,MFS
Yes,327841,Education,NA,123926,2328906,Graduate,Law,Management,No,Urban,NO_ELIGIBLE_SCHEME
Yes,318217,Business,Service Business,138875,23751,NA,NA,NA,NA,Rural,MFS
Yes,105696,Business,Service Business,107493,13346,NA,NA,NA,NA,Rural,AMY
Yes,610221,Business,Small Manufacturing,94938,179664,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,267324,Business,Poultry,712886,240120,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,328193,Business,Service Business,1521873,1398738,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,184686,Business,Repair Shop,228981,195742,NA,NA,NA,NA,Rural,UNY
Yes,159048,Business,Tailoring,1485262,480516,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,259589,Business,Tailoring,2859559,354602,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,161412,Business,Repair Shop,2857755,1188558,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,492755,Business,Fisheries,102746,39311,NA,NA,NA,NA,Rural,AMY
Yes,121492,Business,Grocery Shop,326527,80908,NA,NA,NA,NA,Rural,UNY
Yes,495198,Business,Small Manufacturing,191983,166705,NA,NA,NA,NA,Rural,UNY
Yes,293248,Business,Service Business,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,403107,Business,Small Manufacturing,69107,40343,NA,NA,NA,NA,Urban,MFS
Yes,272638,Business,Small Manufacturing,2036571,521723,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,309709,Business,Tailoring,109920,60323,NA,NA,NA,NA,Urban,AMY
Yes,271912,Business,Poultry,101819,71636,NA,NA,NA,NA,Rural,AMY
Yes,178475,Business,Service Business,272310,140452,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,363313,Education,NA,4449656,3433519,Graduate,BTech,Professional,Yes,Rural,ELS
Yes,298601,Business,Small Manufacturing,347796,255970,NA,NA,NA,NA,Urban,UNY
Yes,344430,Business,Small Manufacturing,136851,60324,NA,NA,NA,NA,Urban,MFS
Yes,183530,Business,Computer Centre,446610,79325,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,453934,Business,Repair Shop,6898305,6444084,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,181693,Education,NA,1690394,1690394,12th,MBA,Management,Yes,Urban,ELS
Yes,95939,Business,Food Business,340025,285342,NA,NA,NA,NA,Urban,UNY
Yes,347317,Education,NA,3734727,2197128,Postgraduate,MBA,Technical,No,Rural,NO_ELIGIBLE_SCHEME
Yes,411046,Education,NA,1766936,1758054,12th,Nursing,Professional,No,Rural,NO_ELIGIBLE_SCHEME
Yes,370892,Business,Tailoring,121203,37400,NA,NA,NA,NA,Rural,MFS
Yes,113583,Business,Transport,3142638,2131119,NA,NA,NA,NA,Urban,TERM_LOAN
No,476747,Business,Fisheries,199738,273041,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,272364,Education,NA,975439,975439,12th,BCA,Technical,Yes,Rural,ELS
Yes,349038,Business,Food Business,54921,23597,NA,NA,NA,NA,Urban,AMY
Yes,202793,Business,Grocery Shop,135801,50850,NA,NA,NA,NA,Urban,AMY
Yes,256867,Education,NA,2544032,2544032,Graduate,MCA,Professional,Yes,Urban,ELS
Yes,275576,Education,NA,1960828,1960828,Graduate,Medical,Technical,Yes,Urban,ELS
Yes,406692,Business,Poultry,128789,80675,NA,NA,NA,NA,Rural,AMY
Yes,605742,Business,Repair Shop,260895,26488,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,260920,Business,Small Manufacturing,480282,218997,NA,NA,NA,NA,Rural,UNY
Yes,387712,Business,Tailoring,90559,36299,NA,NA,NA,NA,Urban,AMY
Yes,465710,Business,Food Business,124841,52558,NA,NA,NA,NA,Rural,MFS
Yes,247542,Business,Poultry,3749509,467123,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,52603,Education,NA,2664811,133949,Postgraduate,MBA,Management,Yes,Urban,ELS
Yes,245095,Business,Service Business,262794,180261,NA,NA,NA,NA,Urban,UNY
Yes,378824,Business,Transport,6672216,5569237,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,606968,Business,Food Business,133470,154027,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,230014,Business,Transport,393390,118270,NA,NA,NA,NA,Rural,UNY
Yes,133895,Business,Computer Centre,307199,114389,NA,NA,NA,NA,Rural,UNY
Yes,227813,Business,Service Business,107025,99780,NA,NA,NA,NA,Urban,MFS
Yes,152116,Business,Repair Shop,4535758,2017369,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,285984,Education,NA,2399601,2098678,12th,BTech,Management,No,Rural,NO_ELIGIBLE_SCHEME
Yes,247863,Business,Fisheries,36378,35310,NA,NA,NA,NA,Rural,AMY
Yes,226228,Business,Transport,33804,22742,NA,NA,NA,NA,Rural,MFS
Yes,494650,Business,Fisheries,229508,50267,NA,NA,NA,NA,Rural,UNY
Yes,158891,Business,Food Business,101845,75058,NA,NA,NA,NA,Urban,MFS
Yes,276137,Business,Poultry,122340,14062,NA,NA,NA,NA,Urban,MFS
Yes,236883,Business,Service Business,2989249,2276087,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,133760,Business,Tailoring,95210,33111,NA,NA,NA,NA,Rural,MFS
Yes,434402,Business,Fisheries,135581,67503,NA,NA,NA,NA,Rural,MFS
Yes,366031,Business,Grocery Shop,69110,47221,NA,NA,NA,NA,Urban,MFS
Yes,88527,Business,Poultry,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,305024,Business,Service Business,4680617,1894565,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,484271,Business,Tailoring,136386,62218,NA,NA,NA,NA,Urban,AMY
No,351826,Business,Small Manufacturing,80400,204213,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,402576,Education,NA,4379404,2038030,Graduate,Engineering,Medical,Yes,Rural,ELS
Yes,197211,Education,NA,833035,833035,Graduate,Pharmacy,Technical,Yes,Rural,ELS
Yes,223594,Education,NA,3641381,1335233,12th,Engineering,Medical,Yes,Urban,ELS
Yes,159853,Business,Computer Centre,2517158,1420527,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,459899,Education,NA,978836,978836,Postgraduate,BCA,Management,Yes,Rural,ELS
Yes,169829,Business,Repair Shop,63413,32821,NA,NA,NA,NA,Urban,AMY
No,450668,Business,Repair Shop,148194,151682,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,422640,Business,Poultry,157129,107258,NA,NA,NA,NA,Urban,UNY
Yes,473061,Business,Poultry,203331,157557,NA,NA,NA,NA,Rural,UNY
Yes,160319,Business,Service Business,386467,68331,NA,NA,NA,NA,Urban,UNY
Yes,530010,Business,Food Business,346891,21563,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,216804,Education,NA,3143664,3143664,Graduate,BCA,Management,Yes,Rural,ELS
Yes,69760,Business,Grocery Shop,281104,232998,NA,NA,NA,NA,Urban,UNY
No,224132,Business,Transport,61020,317170,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,449469,Business,Small Manufacturing,449170,269651,NA,NA,NA,NA,Urban,UNY
Yes,498461,Business,Food Business,33315,21982,NA,NA,NA,NA,Urban,AMY
Yes,132492,Business,Repair Shop,1442763,114628,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,470007,Business,Transport,69131,42168,NA,NA,NA,NA,Urban,MFS
Yes,299928,Business,Service Business,72373,56269,NA,NA,NA,NA,Urban,AMY
Yes,465743,Business,Computer Centre,2733491,1163457,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,395725,Business,Transport,36029,35599,NA,NA,NA,NA,Urban,AMY
Yes,390703,Business,Computer Centre,6602436,5216395,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,311257,Education,NA,2670620,2670620,12th,MBA,Medical,Yes,Rural,ELS
Yes,75845,Business,Fisheries,97649,92660,NA,NA,NA,NA,Urban,MFS
Yes,259001,Business,Repair Shop,192627,142788,NA,NA,NA,NA,Rural,UNY
Yes,361952,Business,Food Business,3682182,1397592,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,454687,Education,NA,2754650,68630,Graduate,Medical,Technical,Yes,Rural,ELS
Yes,380607,Education,NA,3506641,2643912,12th,MCA,Professional,Yes,Rural,ELS
Yes,255054,Education,NA,603970,603970,12th,Engineering,Professional,Yes,Urban,ELS
Yes,391378,Business,Small Manufacturing,7020401,6461619,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
No,246243,Business,Small Manufacturing,122643,371208,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,245916,Education,NA,2405595,2405595,12th,MBA,Technical,Yes,Urban,ELS
No,283106,Business,Grocery Shop,460091,336492,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,257805,Business,Food Business,250769,32090,NA,NA,NA,NA,Urban,UNY
Yes,166518,Business,Grocery Shop,3150138,810356,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,296934,Business,Service Business,58922,14818,NA,NA,NA,NA,Urban,MFS
Yes,463841,Education,NA,1336743,1336743,Graduate,Law,Professional,Yes,Rural,ELS
Yes,133002,Business,Computer Centre,66294,10597,NA,NA,NA,NA,Rural,AMY
No,98587,Business,Tailoring,162924,394735,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
No,304112,Business,Tailoring,460394,101754,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,247236,Business,Computer Centre,4122381,504395,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,197909,Business,Repair Shop,54371,16702,NA,NA,NA,NA,Rural,MFS
Yes,370497,Business,Small Manufacturing,166717,106515,NA,NA,NA,NA,Urban,UNY
Yes,245813,Business,Poultry,53338,35384,NA,NA,NA,NA,Urban,MFS
Yes,444000,Business,Repair Shop,4166670,770795,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,93748,Business,Poultry,48161,24402,NA,NA,NA,NA,Urban,AMY
Yes,248515,Business,Transport,102154,94320,NA,NA,NA,NA,Rural,MFS
Yes,378470,Business,Transport,1650892,856830,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,495107,Business,Tailoring,3180395,871149,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,159005,Business,Grocery Shop,279001,131581,NA,NA,NA,NA,Rural,UNY
Yes,184832,Business,Computer Centre,4275750,3610131,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,233297,Education,NA,2935773,2480113,Graduate,Engineering,Medical,Yes,Urban,ELS
Yes,80188,Business,Repair Shop,149952,29205,NA,NA,NA,NA,Urban,UNY
Yes,255770,Education,NA,3795076,3711373,Postgraduate,BCA,Technical,Yes,Rural,ELS
Yes,165548,Business,Tailoring,403921,59581,NA,NA,NA,NA,Rural,UNY
Yes,176157,Business,Computer Centre,1269446,320536,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,485043,Education,NA,3213175,2794717,Postgraduate,MBA,Professional,Yes,Urban,ELS
Yes,129682,Business,Food Business,159067,31636,NA,NA,NA,NA,Rural,UNY
Yes,199348,Business,Service Business,4976462,4051905,NA,NA,NA,NA,Urban,TERM_LOAN
No,102552,Business,Tailoring,128468,93645,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,241186,Business,Tailoring,414666,197310,NA,NA,NA,NA,Rural,UNY
Yes,188944,Business,Fisheries,291841,32334,NA,NA,NA,NA,Rural,UNY
Yes,50362,Business,Repair Shop,3342442,1841666,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,380800,Business,Tailoring,136578,57371,NA,NA,NA,NA,Rural,AMY
Yes,305255,Business,Food Business,76255,55224,NA,NA,NA,NA,Rural,MFS
Yes,629173,Business,Fisheries,257209,320997,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,324717,Business,Grocery Shop,131047,62037,NA,NA,NA,NA,Rural,MFS
Yes,300546,Business,Grocery Shop,103055,44472,NA,NA,NA,NA,Rural,AMY
Yes,192832,Business,Repair Shop,332320,180555,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,409359,Business,Grocery Shop,361765,335554,NA,NA,NA,NA,Urban,UNY
Yes,363194,Education,NA,3378816,1840017,Graduate,BCA,Management,No,Urban,NO_ELIGIBLE_SCHEME
Yes,366818,Business,Fisheries,2350988,559698,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,248916,Business,Grocery Shop,381859,252525,NA,NA,NA,NA,Rural,UNY
Yes,291001,Business,Fisheries,730669,663857,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,317441,Education,NA,2378768,3990263,Graduate,Law,Management,No,Rural,NO_ELIGIBLE_SCHEME
Yes,167186,Business,Service Business,320056,195996,NA,NA,NA,NA,Urban,UNY
Yes,157442,Education,NA,1887152,1887152,Graduate,Law,Management,Yes,Urban,ELS
Yes,63937,Business,Food Business,5000000,5000000,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,276487,Business,Transport,169892,82498,NA,NA,NA,NA,Urban,UNY
Yes,128682,Business,Transport,116122,105192,NA,NA,NA,NA,Rural,AMY
Yes,239319,Business,Computer Centre,99243,11581,NA,NA,NA,NA,Rural,MFS
Yes,261421,Business,Poultry,6852138,5852253,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,472508,Business,Tailoring,95976,86183,NA,NA,NA,NA,Urban,AMY
Yes,236673,Business,Small Manufacturing,203042,143303,NA,NA,NA,NA,Rural,UNY
Yes,437637,Business,Service Business,498365,304289,NA,NA,NA,NA,Urban,UNY
Yes,364781,Education,NA,1936642,139467,12th,Nursing,Professional,Yes,Rural,ELS
Yes,319390,Business,Transport,7487417,5407860,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,475458,Business,Poultry,112802,33891,NA,NA,NA,NA,Rural,MFS
Yes,57766,Business,Poultry,2681170,701345,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,344975,Education,NA,1830983,977213,Graduate,BTech,Technical,No,Rural,NO_ELIGIBLE_SCHEME
Yes,491070,Business,Service Business,155625,91574,NA,NA,NA,NA,Urban,UNY
Yes,486230,Business,Poultry,81910,13816,NA,NA,NA,NA,Rural,MFS
Yes,443510,Business,Repair Shop,6331105,5295731,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,375237,Education,NA,3234935,1692459,Postgraduate,Law,Medical,Yes,Urban,ELS
Yes,159700,Business,Grocery Shop,406916,306749,NA,NA,NA,NA,Rural,UNY
Yes,429244,Business,Computer Centre,361508,354855,NA,NA,NA,NA,Rural,UNY
Yes,299280,Business,Tailoring,48786,20801,NA,NA,NA,NA,Urban,AMY
No,282408,Business,Small Manufacturing,274292,254481,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,483734,Business,Small Manufacturing,205590,173998,NA,NA,NA,NA,Rural,UNY
Yes,290966,Business,Computer Centre,40481,31935,NA,NA,NA,NA,Urban,AMY
Yes,249238,Business,Transport,56167,40809,NA,NA,NA,NA,Rural,AMY
Yes,409568,Business,Transport,2818829,2174592,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,234005,Business,Small Manufacturing,4885642,1782624,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,125630,Education,NA,1105005,84748,Postgraduate,Medical,Medical,Yes,Urban,ELS
Yes,435313,Business,Transport,96229,89874,NA,NA,NA,NA,Rural,AMY
Yes,424673,Business,Food Business,296939,136242,NA,NA,NA,NA,Rural,UNY
Yes,391076,Business,Repair Shop,290728,114234,NA,NA,NA,NA,Urban,UNY
Yes,190172,Business,Small Manufacturing,72003,33115,NA,NA,NA,NA,Urban,MFS
Yes,390886,Business,Fisheries,310802,214688,NA,NA,NA,NA,Rural,UNY
Yes,188071,Business,Fisheries,121857,119075,NA,NA,NA,NA,Urban,MFS
Yes,152248,Business,Service Business,71541,27641,NA,NA,NA,NA,Urban,AMY
Yes,148100,Business,Computer Centre,114919,23134,NA,NA,NA,NA,Urban,AMY
Yes,498970,Business,Food Business,45007,22816,NA,NA,NA,NA,Rural,AMY
Yes,151879,Business,Tailoring,189681,159698,NA,NA,NA,NA,Urban,UNY
Yes,276901,Education,NA,2739679,2739679,Graduate,Engineering,Technical,Yes,Rural,ELS
Yes,159018,Business,Repair Shop,7910672,6410100,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,454984,Business,Tailoring,4553683,1893472,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,277794,Business,Grocery Shop,62044,15650,NA,NA,NA,NA,Urban,MFS
Yes,441185,Business,Transport,4459289,2269262,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,371540,Business,Repair Shop,3653867,1456299,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,494947,Business,Service Business,34081,14678,NA,NA,NA,NA,Urban,MFS
Yes,95497,Education,NA,793490,1473814,Postgraduate,MCA,Professional,No,Urban,NO_ELIGIBLE_SCHEME
Yes,307949,Education,NA,1831458,1831458,12th,BCA,Management,Yes,Rural,ELS
Yes,143974,Business,Repair Shop,335780,92606,NA,NA,NA,NA,Urban,UNY
Yes,66054,Business,Transport,1947683,1820793,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,415531,Business,Small Manufacturing,54901,36822,NA,NA,NA,NA,Urban,MFS
Yes,62658,Business,Computer Centre,104308,33689,NA,NA,NA,NA,Rural,AMY
Yes,380745,Business,Service Business,37503,35803,NA,NA,NA,NA,Rural,AMY
Yes,423839,Education,NA,133367,133367,12th,Medical,Professional,Yes,Urban,ELS
Yes,180781,Education,NA,1703643,1386928,Graduate,BCA,Technical,Yes,Urban,ELS
Yes,390556,Business,Repair Shop,82171,51207,NA,NA,NA,NA,Rural,MFS
No,114494,Business,Fisheries,99792,81327,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,252609,Education,NA,1132156,718945,Graduate,MCA,Technical,Yes,Urban,ELS
Yes,327389,Business,Fisheries,1364826,113914,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,292532,Education,NA,2786658,2173578,12th,Engineering,Medical,Yes,Rural,ELS
Yes,667332,Business,Computer Centre,148605,181847,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,610627,Business,Tailoring,64955,112982,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,231813,Business,Repair Shop,114711,69809,NA,NA,NA,NA,Urban,AMY
Yes,320930,Education,NA,1718670,1718670,Postgraduate,Medical,Technical,Yes,Rural,ELS
Yes,532350,Business,Grocery Shop,429678,166063,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,452018,Business,Fisheries,116884,76010,NA,NA,NA,NA,Rural,AMY
Yes,185155,Business,Repair Shop,294810,193653,NA,NA,NA,NA,Rural,UNY
Yes,468731,Business,Grocery Shop,150204,97805,NA,NA,NA,NA,Urban,UNY
Yes,484341,Business,Computer Centre,7015165,6077772,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,56089,Business,Poultry,173953,141377,NA,NA,NA,NA,Urban,UNY
Yes,423082,Business,Fisheries,1126023,908362,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,267376,Business,Computer Centre,116652,40191,NA,NA,NA,NA,Rural,MFS
Yes,60642,Business,Grocery Shop,127832,62915,NA,NA,NA,NA,Rural,AMY
Yes,55815,Business,Small Manufacturing,442444,82669,NA,NA,NA,NA,Urban,UNY
Yes,458550,Education,NA,2611250,2611250,Graduate,MCA,Technical,Yes,Urban,ELS
Yes,449285,Business,Grocery Shop,194153,52896,NA,NA,NA,NA,Urban,UNY
Yes,132260,Business,Poultry,348739,237936,NA,NA,NA,NA,Urban,UNY
Yes,265395,Business,Service Business,37077,21358,NA,NA,NA,NA,Urban,AMY
Yes,410909,Business,Fisheries,183593,42995,NA,NA,NA,NA,Rural,UNY
Yes,259758,Business,Service Business,214188,207621,NA,NA,NA,NA,Urban,UNY
Yes,405646,Education,NA,1388297,1224952,12th,Pharmacy,Management,Yes,Urban,ELS
Yes,295595,Business,Food Business,137027,100757,NA,NA,NA,NA,Urban,AMY
Yes,230037,Business,Grocery Shop,4170707,3531842,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,491928,Business,Tailoring,7122534,6864424,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,307676,Business,Transport,122544,31514,NA,NA,NA,NA,Rural,MFS
Yes,194396,Business,Transport,34910,15642,NA,NA,NA,NA,Rural,MFS
Yes,303640,Business,Food Business,4800458,1450203,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,260254,Education,NA,3644353,627301,Postgraduate,Law,Medical,Yes,Rural,ELS
Yes,173504,Business,Poultry,360416,105091,NA,NA,NA,NA,Urban,UNY
Yes,387224,Education,NA,2071470,275042,Graduate,MBA,Technical,Yes,Urban,ELS
Yes,303877,Business,Small Manufacturing,113586,55705,NA,NA,NA,NA,Rural,AMY
No,95692,Business,Computer Centre,250026,354085,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,307308,Business,Food Business,141458,76462,NA,NA,NA,NA,Urban,UNY
Yes,285288,Education,NA,150051,72835,Graduate,Pharmacy,Technical,Yes,Urban,ELS
Yes,178290,Education,NA,2641539,2482082,12th,BTech,Medical,Yes,Urban,ELS
No,499637,Business,Transport,98588,371494,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,287779,Education,NA,1192936,1192936,12th,Nursing,Management,Yes,Urban,ELS
Yes,440965,Business,Fisheries,34782,17163,NA,NA,NA,NA,Urban,AMY
Yes,468010,Business,Small Manufacturing,4508552,868356,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,484288,Business,Poultry,3520542,2489115,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,451331,Business,Poultry,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,496162,Business,Transport,96517,38194,NA,NA,NA,NA,Rural,AMY
Yes,372045,Business,Small Manufacturing,485109,317093,NA,NA,NA,NA,Urban,TERM_LOAN
Yes,169537,Business,Food Business,219432,69895,NA,NA,NA,NA,Rural,UNY
Yes,71166,Business,Transport,5000000,5000000,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,182759,Business,Computer Centre,403960,195026,NA,NA,NA,NA,Urban,UNY
Yes,369492,Education,NA,1258434,1258434,Graduate,Medical,Management,Yes,Urban,ELS
Yes,345550,Business,Fisheries,1044071,627778,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,397343,Education,NA,730501,730501,Graduate,MCA,Technical,Yes,Rural,ELS
Yes,212360,Business,Computer Centre,1927168,1611908,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,98465,Business,Transport,138861,17044,NA,NA,NA,NA,Urban,AMY
Yes,492251,Business,Tailoring,2421529,2061605,NA,NA,NA,NA,Rural,TERM_LOAN
Yes,107440,Business,Repair Shop,7281986,6839970,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
Yes,613436,Business,Food Business,105313,30628,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
No,61182,Business,Tailoring,109121,177394,NA,NA,NA,NA,Urban,NO_ELIGIBLE_SCHEME
Yes,91951,Business,Computer Centre,132405,73068,NA,NA,NA,NA,Urban,AMY
No,266696,Business,Computer Centre,51430,71027,NA,NA,NA,NA,Rural,NO_ELIGIBLE_SCHEME
